gene	CHROM	gene_start	gene_end	gene_length	gene_ensembl
SYNPO2	4	118850687	119061247	210560	ENSG00000172403
MYOZ2	4	119135831	119187789	51958	ENSG00000172399
USP53	4	119212586	119295518	82932	ENSG00000145390
C4orf3	4	119296418	119304445	8027	ENSG00000164096
FABP2	4	119317249	119322138	4889	ENSG00000145384
ENSG00000291202	4	119405522	119454655	49133	ENSG00000291202
ENSG00000260091	4	119409332	119410233	901	ENSG00000260091
ENSG00000291203	4	119454761	119552025	97264	ENSG00000291203
ENSG00000250950	4	119456349	119457277	928	ENSG00000250950
PDE5A	4	119494396	119628804	134408	ENSG00000138735
ENSG00000286241	4	119686537	119693563	7026	ENSG00000286241
LINC01365	4	119799088	119804554	5466	ENSG00000250772
LINC02502	4	119939539	119964293	24754	ENSG00000250392
ENSG00000253825	4	120035032	120040615	5583	ENSG00000253825
MAD2L1	4	120055622	120066858	11236	ENSG00000164109
MAD2L1-DT	4	120066903	120564789	497886	ENSG00000250938
ENSG00000249409	4	120639089	120650796	11707	ENSG00000249409
PRDM5	4	120684918	120922870	237952	ENSG00000138738
NDNF	4	121035612	121073021	37409	ENSG00000173376
NDNF-AS1	4	121071428	121080476	9048	ENSG00000250344
TNIP3	4	121131407	121227466	96059	ENSG00000050730
QRFPR	4	121328641	121381059	52418	ENSG00000186867
ANXA5	4	121667945	121696995	29050	ENSG00000164111
SMIM43	4	121758880	121765427	6547	ENSG00000164112
PP12613	4	121764584	121766814	2230	ENSG00000226757
EXOSC9	4	121801317	121817021	15704	ENSG00000123737
CCNA2	4	121816443	121823883	7440	ENSG00000145386
BBS7	4	121824328	121870487	46159	ENSG00000138686
BBS7-DT	4	121870582	121872848	2266	ENSG00000261501
TRPC3	4	121874480	121952060	77580	ENSG00000138741
ENSG00000289342	4	121950962	121990023	39061	ENSG00000289342
BLTP1	4	122152330	122364167	211837	ENSG00000138688
ADAD1	4	122378965	122429802	50837	ENSG00000164113
IL2	4	122451469	122456725	5256	ENSG00000109471
IL21	4	122610107	122621066	10959	ENSG00000138684
IL21-AS1	4	122618982	122689156	70174	ENSG00000227145
ENSG00000287692	4	122700444	122708788	8344	ENSG00000287692
BBS12	4	122732701	122744942	12241	ENSG00000181004
FGF2	4	122826681	122898236	71555	ENSG00000138685
ENSG00000273007	4	122879777	122885805	6028	ENSG00000273007
NUDT6	4	122888696	122922968	34272	ENSG00000170917
SPATA5	4	122923069	123319433	396364	ENSG00000145375
ENSG00000287951	4	123349249	123351221	1972	ENSG00000287951
SPRY1	4	123396794	123403760	6966	ENSG00000164056
ENSG00000249125	4	123490241	123522106	31865	ENSG00000249125
LINC02435	4	123505278	123527525	22247	ENSG00000251526
LINC01091	4	123539025	123962704	423679	ENSG00000249464
ENSG00000226655	4	123744922	123745673	751	ENSG00000226655
ENSG00000286700	4	124025294	124028268	2974	ENSG00000286700
ENSG00000249837	4	124149376	124252044	102668	ENSG00000249837
ENSG00000286734	4	124324972	124339047	14075	ENSG00000286734
LINC02516	4	124499939	124558445	58506	ENSG00000261083
ANKRD50	4	124664047	124712732	48685	ENSG00000151458
FAT4	4	125314917	125492932	178015	ENSG00000196159
ENSG00000250149	4	125676717	126017357	340640	ENSG00000250149
LINC02379	4	126064127	126073370	9243	ENSG00000251649
ENSG00000286251	4	126431693	126735523	303830	ENSG00000286251
ENSG00000289869	4	126776968	126778414	1446	ENSG00000289869
ENSG00000250945	4	127043429	127077762	34333	ENSG00000250945
ENSG00000248491	4	127094409	127470569	376160	ENSG00000248491
ENSG00000287101	4	127228518	127352379	123861	ENSG00000287101
ENSG00000287021	4	127532827	127623803	90976	ENSG00000287021
INTU	4	127623270	127726737	103467	ENSG00000164066
SLC25A31	4	127730399	127774292	43893	ENSG00000151475
HSPA4L	4	127781820	127840733	58913	ENSG00000164070
ENSG00000261668	4	127840197	127844040	3843	ENSG00000261668
PLK4	4	127880892	127899224	18332	ENSG00000142731
MFSD8	4	127917798	127966034	48236	ENSG00000164073
ABHD18	4	127965314	128039953	74639	ENSG00000164074
LARP1B	4	128061285	128222931	161646	ENSG00000138709
PGRMC2	4	128269236	128288829	19593	ENSG00000164040
LINC02615	4	128292750	128519398	226648	ENSG00000251432
ENSG00000273077	4	128552589	128553416	827	ENSG00000273077
ENSG00000248187	4	128567971	128570531	2560	ENSG00000248187
ENSG00000248802	4	128582998	128601407	18409	ENSG00000248802
ENSG00000289243	4	128653872	128661363	7491	ENSG00000289243
JADRR	4	128768227	128769948	1721	ENSG00000280711
JADE1	4	128809699	128875224	65525	ENSG00000077684
SCLT1	4	128864920	129093600	228680	ENSG00000151466
C4orf33	4	129093316	129116640	23324	ENSG00000151470
ENSG00000250193	4	129299174	129305022	5848	ENSG00000250193
ENSG00000287748	4	129362910	129377504	14594	ENSG00000287748
LINC02466	4	129612329	129771527	159198	ENSG00000246876
LINC02465	4	129771595	129975329	203734	ENSG00000249618
LINC02479	4	130376228	130432227	55999	ENSG00000251326
ENSG00000250503	4	130881026	130885641	4615	ENSG00000250503
LINC02377	4	131379716	131591825	212109	ENSG00000250102
SNHG27	4	131727586	131791492	63906	ENSG00000251676
ENSG00000251555	4	131930030	131975952	45922	ENSG00000251555
ENSG00000251598	4	131978484	132345621	367137	ENSG00000251598
ENSG00000249463	4	132027174	132028434	1260	ENSG00000249463
ENSG00000248369	4	132435801	132447235	11434	ENSG00000248369
LINC01256	4	132591063	132678503	87440	ENSG00000251398
ENSG00000251488	4	132836771	132981677	144906	ENSG00000251488
ENSG00000249513	4	132985509	132988677	3168	ENSG00000249513
PCDH10-DT	4	133075310	133149147	73837	ENSG00000250241
PCDH10	4	133149293	133208606	59313	ENSG00000138650
ENSG00000286467	4	133261021	133263115	2094	ENSG00000286467
ENSG00000251388	4	133871245	134010690	139445	ENSG00000251388
ENSG00000251199	4	134026664	134327977	301313	ENSG00000251199
ENSG00000286253	4	134057467	134085506	28039	ENSG00000286253
PABPC4L	4	134196332	134201789	5457	ENSG00000254535
LINC02462	4	134383466	134545648	162182	ENSG00000251291
ENSG00000249000	4	134759398	134817289	57891	ENSG00000249000
ENSG00000249847	4	134932888	134934131	1243	ENSG00000249847
ENSG00000248434	4	135067232	135097658	30426	ENSG00000248434
LINC02485	4	135112904	135123779	10875	ENSG00000248456
ENSG00000250865	4	135792383	135805904	13521	ENSG00000250865
LINC00613	4	135866982	135913680	46698	ENSG00000248330
ENSG00000261166	4	136097796	136099240	1444	ENSG00000261166
ENSG00000251567	4	136118674	136395471	276797	ENSG00000251567
ENSG00000250665	4	136125908	136138874	12966	ENSG00000250665
LINC02511	4	136795918	137212799	416881	ENSG00000248869
LINC02510	4	137193755	137198367	4612	ENSG00000250341
PCDH18	4	137518917	137532494	13577	ENSG00000189184
LINC02172	4	137545730	137603430	57700	ENSG00000251632
ENSG00000250126	4	137645264	137655174	9910	ENSG00000250126
ENSG00000250777	4	137690476	137734977	44501	ENSG00000250777
ENSG00000287441	4	137751028	137755300	4272	ENSG00000287441
ENSG00000250034	4	137807705	137816402	8697	ENSG00000250034
ENSG00000287144	4	137943021	138051288	108267	ENSG00000287144
LINC00616	4	137978546	138131182	152636	ENSG00000248307
SLC7A11-AS1	4	138057463	138178177	120714	ENSG00000250033
SLC7A11	4	138164096	138242349	78253	ENSG00000151012
ENSG00000249091	4	138277114	138281784	4670	ENSG00000249091
LINC00498	4	138298855	138312658	13803	ENSG00000248397
LINC00499	4	138309612	138663403	353791	ENSG00000251372
LINC00500	4	138425522	138436869	11347	ENSG00000249381
ENSG00000250977	4	138664724	138665569	845	ENSG00000250977
ENSG00000250501	4	138773536	138803567	30031	ENSG00000250501
ENSG00000250195	4	138819953	139012646	192693	ENSG00000250195
ENSG00000250577	4	138923929	138924232	303	ENSG00000250577
NOCT	4	139015780	139045939	30159	ENSG00000151014
ELF2	4	139028111	139177218	149107	ENSG00000109381
ENSG00000288785	4	139177455	139245432	67977	ENSG00000288785
MGARP	4	139266164	139280225	14061	ENSG00000137463
NDUFC1	4	139266879	139302551	35672	ENSG00000109390
NAA15	4	139301445	139420033	118588	ENSG00000164134
RAB33B-AS1	4	139411926	139454034	42108	ENSG00000273247
RAB33B	4	139453231	139476609	23378	ENSG00000172007
SETD7	4	139495940	139606699	110759	ENSG00000145391
ENSG00000272717	4	139556798	139557643	845	ENSG00000272717
ENSG00000286896	4	139559282	139618133	58851	ENSG00000286896
QKILA	4	139564297	139623257	58960	ENSG00000261268
MGST2	4	139665767	139740745	74978	ENSG00000085871
MAML3	4	139716752	140154184	437432	ENSG00000196782
ENSG00000286320	4	139763052	139770391	7339	ENSG00000286320
ENSG00000290022	4	139841167	139841542	375	ENSG00000290022
ENSG00000250698	4	140128014	140134565	6551	ENSG00000250698
SCOC	4	140257285	140385728	128443	ENSG00000153130
SCOC-AS1	4	140283723	140373409	89686	ENSG00000196951
CLGN	4	140388452	140427661	39209	ENSG00000153132
MGAT4D	4	140442261	140498377	56116	ENSG00000205301
ELMOD2	4	140524167	140553770	29603	ENSG00000179387
UCP1	4	140559430	140568961	9531	ENSG00000109424
ENSG00000287449	4	140577844	140579657	1813	ENSG00000287449
TBC1D9	4	140620781	140756385	135604	ENSG00000109436
ENSG00000248335	4	140712167	140716081	3914	ENSG00000248335
ENSG00000273472	4	140756409	140757927	1518	ENSG00000273472
RNF150	4	140859806	141212877	353071	ENSG00000170153
ZNF330	4	141220886	141234697	13811	ENSG00000109445
ENSG00000248747	4	141240738	141278789	38051	ENSG00000248747
LINC02432	4	141302909	141357096	54187	ENSG00000248810
ENSG00000272632	4	141430830	141431284	454	ENSG00000272632
LINC02276	4	141569930	141576077	6147	ENSG00000250141
IL15	4	141636582	141733987	97405	ENSG00000164136
INPP4B	4	142023159	142847432	824273	ENSG00000109452
ENSG00000251248	4	142514445	142518983	4538	ENSG00000251248
ENSG00000249806	4	142566018	142660950	94932	ENSG00000249806
USP38-DT	4	142933194	143184861	251667	ENSG00000250326
USP38	4	143184916	143223874	38958	ENSG00000170185
ENSG00000250969	4	143286292	143329858	43566	ENSG00000250969
GAB1	4	143336875	143474565	137690	ENSG00000109458
ENSG00000286771	4	143351514	143355794	4280	ENSG00000286771
SMARCA5-AS1	4	143513471	143514635	1164	ENSG00000245112
SMARCA5	4	143513701	143557486	43785	ENSG00000153147
ENSG00000251600	4	143559456	144343750	784294	ENSG00000251600
FREM3	4	143577301	143700675	123374	ENSG00000183090
GYPE	4	143870863	143905563	34700	ENSG00000197465
GYPB	4	143996103	144019380	23277	ENSG00000250361
ENSG00000286055	4	144010236	144012598	2362	ENSG00000286055
GYPA	4	144109302	144140751	31449	ENSG00000170180
ENSG00000285783	4	144111038	144870953	759915	ENSG00000285783
ENSG00000261129	4	144505899	144509001	3102	ENSG00000261129
HHIP-AS1	4	144642918	144661357	18439	ENSG00000248890
HHIP	4	144646155	144745271	99116	ENSG00000164161
ENSG00000289314	4	144687749	144689048	1299	ENSG00000289314
ANAPC10	4	144831907	145098541	266634	ENSG00000164162
ENSG00000250406	4	144851571	144874787	23216	ENSG00000250406
ABCE1	4	145098287	145129524	31237	ENSG00000164163
OTUD4	4	145110837	145180589	69752	ENSG00000164164
LINC02266	4	145335262	145343559	8297	ENSG00000272727
ENSG00000286420	4	145444898	145469638	24740	ENSG00000286420
SMAD1	4	145481193	145559176	77983	ENSG00000170365
SMAD1-AS2	4	145497072	145502971	5899	ENSG00000250582
SMAD1-AS1	4	145514614	145517118	2504	ENSG00000250902
MMAA	4	145599041	145660033	60992	ENSG00000151611
ENSG00000248356	4	145642335	145650624	8289	ENSG00000248356
C4orf51	4	145680145	145771032	90887	ENSG00000237136
ZNF827	4	145757626	145938823	181197	ENSG00000151612
ENSG00000251687	4	145833117	145839580	6463	ENSG00000251687
ENSG00000260303	4	146052603	146056762	4159	ENSG00000260303
LINC01095	4	146077716	146121913	44197	ENSG00000248809
LSM6	4	146175702	146200000	24298	ENSG00000164167
REELD1	4	146214514	146232267	17753	ENSG00000250673
ENSG00000251010	4	146241805	146243669	1864	ENSG00000251010
SLC10A7	4	146253974	146522372	268398	ENSG00000120519
ENSG00000288998	4	146522424	146523392	968	ENSG00000288998
POU4F2	4	146638892	146642474	3582	ENSG00000151615
TTC29	4	146706616	146945882	239266	ENSG00000137473
ENSG00000248764	4	146934000	146945471	11471	ENSG00000248764
ENSG00000248346	4	146957437	146975457	18020	ENSG00000248346
ENSG00000260090	4	147005491	147009145	3654	ENSG00000260090
ENSG00000286371	4	147060612	147159068	98456	ENSG00000286371
EDNRA	4	147480916	147544954	64038	ENSG00000151617
LINC02507	4	147567605	147594589	26984	ENSG00000251688
TMEM184C-DT	4	147609551	147617245	7694	ENSG00000251298
TMEM184C	4	147617385	147672044	54659	ENSG00000164168
PRMT9	4	147637784	147684163	46379	ENSG00000164169
ARHGAP10	4	147732062	148072776	340714	ENSG00000071205
NR3C2	4	148078761	148444698	365937	ENSG00000151623
ENSG00000250354	4	148146470	148208880	62410	ENSG00000250354
ENSG00000287292	4	148445702	149024624	578922	ENSG00000287292
ENSG00000250357	4	148693031	148694323	1292	ENSG00000250357
ENSG00000249317	4	148940940	148942415	1475	ENSG00000249317
ENSG00000249752	4	149027444	149062522	35078	ENSG00000249752
LINC02430	4	149147792	149154175	6383	ENSG00000250252
LINC02355	4	149154278	149278123	123845	ENSG00000248210
IQCM	4	149351708	149896233	544525	ENSG00000234828
ENSG00000287565	4	149377256	149380107	2851	ENSG00000287565
ENSG00000250905	4	149666056	149711149	45093	ENSG00000250905
ENSG00000250704	4	149956207	149958572	2365	ENSG00000250704
ENSG00000286711	4	150047003	150051290	4287	ENSG00000286711
DCLK2	4	150078444	150257438	178994	ENSG00000170390
LRBA	4	150264434	151015727	751293	ENSG00000198589
ENSG00000249690	4	150579088	150581545	2457	ENSG00000249690
MAB21L2	4	150582150	150584693	2543	ENSG00000181541
RPS3A	4	151099623	151104642	5019	ENSG00000145425
SH3D19	4	151102750	151325605	222855	ENSG00000109686
ENSG00000270681	4	151139990	151141103	1113	ENSG00000270681
PRSS48	4	151277160	151291862	14702	ENSG00000189099
ENSG00000270265	4	151333774	151353224	19450	ENSG00000270265
FHIP1A-DT	4	151407550	151408835	1285	ENSG00000251611
FHIP1A	4	151409175	151670503	261328	ENSG00000164142
GATB	4	151670503	151761007	90504	ENSG00000059691
ENSG00000251455	4	151674482	151677893	3411	ENSG00000251455
ENSG00000249184	4	151798916	151833097	34181	ENSG00000249184
ENSG00000286761	4	151883710	151886239	2529	ENSG00000286761
ENSG00000249708	4	151887542	151891263	3721	ENSG00000249708
ENSG00000249818	4	151904931	151928710	23779	ENSG00000249818
ENSG00000248991	4	151912852	151943933	31081	ENSG00000248991
ENSG00000286066	4	151949337	151991925	42588	ENSG00000286066
LINC03074	4	151955990	151969381	13391	ENSG00000251249
ENSG00000286720	4	151988525	152045275	56750	ENSG00000286720
LINC02273	4	152090458	152110157	19699	ENSG00000245954
ENSG00000287504	4	152113856	152116497	2641	ENSG00000287504
ENSG00000250706	4	152146384	152178573	32189	ENSG00000250706
ENSG00000251377	4	152206986	152225870	18884	ENSG00000251377
ENSG00000270302	4	152308282	152309983	1701	ENSG00000270302
ENSG00000270883	4	152317901	152318364	463	ENSG00000270883
FBXW7	4	152320543	152536092	215549	ENSG00000109670
FBXW7-AS1	4	152337654	152338098	444	ENSG00000270751
ENSG00000287555	4	152448274	152513788	65514	ENSG00000287555
MIR4453HG	4	152536263	152539263	3000	ENSG00000268471
TMEM154	4	152618627	152680012	61385	ENSG00000170006
ENSG00000248571	4	152666367	152670107	3740	ENSG00000248571
TIGD4	4	152769353	152779730	10377	ENSG00000169989
ARFIP1	4	152779936	152918463	138527	ENSG00000164144
ENSG00000287642	4	152934339	152936898	2559	ENSG00000287642
FHDC1	4	152936322	152979671	43349	ENSG00000137460
ENSG00000249022	4	153034210	153091563	57353	ENSG00000249022
TRIM2	4	153152162	153339319	187157	ENSG00000109654
MND1	4	153344648	153415118	70470	ENSG00000121211
TMEM131L	4	153466345	153636711	170366	ENSG00000121210
ENSG00000287216	4	153633691	153655689	21998	ENSG00000287216
ENSG00000290441	4	153640167	153681180	41013	ENSG00000290441
TLR2	4	153684069	153706260	22191	ENSG00000137462
RNF175	4	153710159	153760024	49865	ENSG00000145428
ENSG00000249309	4	153720326	153727722	7396	ENSG00000249309
SFRP2	4	153780590	153789083	8493	ENSG00000145423
ENSG00000280241	4	153948717	154300500	351783	ENSG00000280241
DCHS2	4	154231741	154491799	260058	ENSG00000197410
ENSG00000278981	4	154235979	154237598	1619	ENSG00000278981
ENSG00000280005	4	154261734	154262193	459	ENSG00000280005
PLRG1	4	154535004	154550400	15396	ENSG00000171566
FGB	4	154563010	154572807	9797	ENSG00000171564
FGA	4	154583125	154590742	7617	ENSG00000171560
FGG	4	154604133	154612967	8834	ENSG00000171557
LRAT	4	154626944	154753120	126176	ENSG00000121207
ENSG00000249041	4	154754755	154781873	27118	ENSG00000249041
RBM46	4	154781212	154828813	47601	ENSG00000151962
MAP9-AS1	4	155173715	155381694	207979	ENSG00000250910
NPY2R-AS1	4	155206528	155209027	2499	ENSG00000250538
NPY2R	4	155208635	155217078	8443	ENSG00000185149
ENSG00000249924	4	155286161	155287136	975	ENSG00000249924
MAP9	4	155342657	155376970	34313	ENSG00000164114
ENSG00000287730	4	155442649	155448610	5961	ENSG00000287730
ENSG00000251244	4	155496109	155520353	24244	ENSG00000251244
GUCY1A1	4	155666725	155737059	70334	ENSG00000164116
ENSG00000260244	4	155734447	155737062	2615	ENSG00000260244
GUCY1B1	4	155758991	155807811	48820	ENSG00000061918
ASIC5	4	155829728	155866277	36549	ENSG00000256394
TDO2	4	155854737	155920406	65669	ENSG00000151790
CTSO	4	155921579	155953912	32333	ENSG00000256043
ENSG00000289320	4	155980937	156010378	29441	ENSG00000289320
ENSG00000251511	4	156585978	156590039	4061	ENSG00000251511
LINC02272	4	156634493	156642454	7961	ENSG00000251283
ENSG00000249479	4	156642579	156643569	990	ENSG00000249479
ENSG00000248912	4	156686663	156692636	5973	ENSG00000248912
PDGFC	4	156760453	156971799	211346	ENSG00000145431
ENSG00000248629	4	156841358	156842236	878	ENSG00000248629
GLRB	4	157076124	157172090	95966	ENSG00000109738
GRIA2	4	157204181	157387146	182965	ENSG00000120251
ENSG00000286133	4	157568730	157824256	255526	ENSG00000286133
LINC02433	4	157572489	157576154	3665	ENSG00000234111
ENSG00000249275	4	157637686	157667044	29358	ENSG00000249275
ENSG00000286862	4	157879901	157962924	83023	ENSG00000286862
ENSG00000287226	4	157929070	158094763	165693	ENSG00000287226
GASK1B	4	158124473	158173318	48845	ENSG00000164125
GASK1B-AS1	4	158170751	158202877	32126	ENSG00000248429
ENSG00000287822	4	158178167	158182806	4639	ENSG00000287822
ENSG00000250604	4	158199104	158228668	29564	ENSG00000250604
TMEM144	4	158201603	158255416	53813	ENSG00000164124
ENSG00000286558	4	158262994	158270211	7217	ENSG00000286558
RXFP1	4	158315310	158653372	338062	ENSG00000171509
ENSG00000249901	4	158490765	158509908	19143	ENSG00000249901
C4orf46	4	158666674	158672255	5581	ENSG00000205208
ETFDH	4	158671967	158710742	38775	ENSG00000171503
PPID	4	158709126	158723396	14270	ENSG00000171497
FNIP2	4	158769025	158908050	139025	ENSG00000052795
ENSG00000289999	4	158841812	158841980	168	ENSG00000289999
C4orf45	4	158893133	159038760	145627	ENSG00000164123
RAPGEF2	4	159103012	159360174	257162	ENSG00000109756
ENSG00000250180	4	159398532	159401246	2714	ENSG00000250180
LINC02233	4	159665832	159777828	111996	ENSG00000250488
LINC02477	4	160539253	160586817	47564	ENSG00000249425
ENSG00000249568	4	161378952	161388417	9465	ENSG00000249568
FSTL5	4	161383896	162164004	780108	ENSG00000168843
ENSG00000249419	4	162022732	162047567	24835	ENSG00000249419
ENSG00000248431	4	162705358	162907428	202070	ENSG00000248431
ENSG00000287072	4	162806369	162844690	38321	ENSG00000287072
ENSG00000250027	4	163108784	163119965	11181	ENSG00000250027
NAF1	4	163110072	163166890	56818	ENSG00000145414
NPY1R	4	163323961	163344832	20871	ENSG00000164128
NPY5R	4	163343891	163351934	8043	ENSG00000164129
TKTL2	4	163471094	163473754	2660	ENSG00000151005
TMA16	4	163494441	163520539	26098	ENSG00000198498
MARCHF1	4	163524297	164384050	859753	ENSG00000145416
ENSG00000273449	4	163529770	163530697	927	ENSG00000273449
SMIM31	4	164754063	164803795	49732	ENSG00000248771
APELA	4	164877177	164898965	21788	ENSG00000248329
ENSG00000285563	4	164920893	164931047	10154	ENSG00000285563
TRIM61	4	164954445	164977668	23223	ENSG00000183439
FAM218A	4	164956947	164959122	2175	ENSG00000250486
ENSG00000250887	4	165007085	165007959	874	ENSG00000250887
TRIM60	4	165016457	165041749	25292	ENSG00000176979
TRIM75	4	165053865	165060554	6689	ENSG00000250374
TMEM192	4	165070607	165208549	137942	ENSG00000170088
KLHL2	4	165207560	165323156	115596	ENSG00000109466
GK3	4	165277806	165279704	1898	ENSG00000229894
MSMO1	4	165327666	165343164	15498	ENSG00000052802
CPE	4	165361193	165498547	137354	ENSG00000109472
ENSG00000287424	4	165647635	165757667	110032	ENSG00000287424
LINC01179	4	165684638	165762778	78140	ENSG00000249500
TLL1	4	165873236	166104457	231221	ENSG00000038295
ENSG00000249675	4	166388700	166526119	137419	ENSG00000249675
SPOCK3	4	166733383	167234796	501413	ENSG00000196104
ENSG00000250150	4	167306909	167308789	1880	ENSG00000250150
ENSG00000248601	4	167946673	168113331	166658	ENSG00000248601
ANXA10	4	168092536	168187736	95200	ENSG00000109511
ENSG00000287188	4	168170096	168194861	24765	ENSG00000287188
DDX60	4	168216290	168318883	102593	ENSG00000137628
DDX60L	4	168356734	168537786	181052	ENSG00000181381
PALLD	4	168497051	168928457	431406	ENSG00000129116
PALLD-AS1	4	168647895	168648587	692	ENSG00000249623
ENSG00000249609	4	168828918	168832937	4019	ENSG00000249609
CBR4	4	168863769	169010275	146506	ENSG00000145439
CBR4-DT	4	169010429	169010939	510	ENSG00000251445
SH3RF1	4	169094258	169270956	176698	ENSG00000154447
ENSG00000251171	4	169201793	169220349	18556	ENSG00000251171
ENSG00000289249	4	169344507	169345397	890	ENSG00000289249
NEK1	4	169369703	169612632	242929	ENSG00000137601
ENSG00000286302	4	169572327	169576451	4124	ENSG00000286302
CLCN3	4	169612632	169723673	111041	ENSG00000109572
HPF1	4	169729469	169757944	28475	ENSG00000056050
ENSG00000287660	4	169849052	169867346	18294	ENSG00000287660
ENSG00000288003	4	169912704	169919663	6959	ENSG00000288003
LINC02275	4	169917760	169975953	58193	ENSG00000248319
ENSG00000287298	4	169921416	169923442	2026	ENSG00000287298
ENSG00000289508	4	169940275	169941684	1409	ENSG00000289508
ENSG00000251200	4	169945980	169963337	17357	ENSG00000251200
ENSG00000249955	4	169981743	169994488	12745	ENSG00000249955
MFAP3L	4	169986596	170033031	46435	ENSG00000198948
AADAT	4	170060221	170091699	31478	ENSG00000109576
LINC01612	4	170226534	170284881	58347	ENSG00000250266
LINC02512	4	170343088	170372311	29223	ENSG00000251061
LINC02382	4	170742468	170743718	1250	ENSG00000250968
ENSG00000286580	4	170979830	170994656	14826	ENSG00000286580
LINC02431	4	171040563	171059163	18600	ENSG00000248872
LINC02504	4	171289474	171298267	8793	ENSG00000248339
ENSG00000287210	4	171494683	171525072	30389	ENSG00000287210
LINC02174	4	171536033	171638763	102730	ENSG00000249297
ENSG00000251176	4	171552999	171564267	11268	ENSG00000251176
GALNTL6	4	171812253	173041559	1229306	ENSG00000174473
GALNT7-DT	4	173094867	173169652	74785	ENSG00000245213
GALNT7	4	173168810	173323967	155157	ENSG00000109586
ENSG00000290017	4	173281987	173289488	7501	ENSG00000290017
ENSG00000248774	4	173322205	173329694	7489	ENSG00000248774
HMGB2	4	173331375	173334432	3057	ENSG00000164104
ENSG00000288728	4	173334751	173336060	1309	ENSG00000288728
SAP30-DT	4	173349542	173370721	21179	ENSG00000272870
SAP30	4	173369968	173377532	7564	ENSG00000164105
SCRG1	4	173384700	173406380	21680	ENSG00000164106
ENSG00000288025	4	173397769	173409559	11790	ENSG00000288025
ENSG00000286226	4	173445032	173446596	1564	ENSG00000286226
ENSG00000261646	4	173467832	173470041	2209	ENSG00000261646
ENSG00000286039	4	173508071	173511790	3719	ENSG00000286039
ENSG00000288776	4	173516538	173519290	2752	ENSG00000288776
HAND2	4	173524968	173530229	5261	ENSG00000164107
HAND2-AS1	4	173527269	173659696	132427	ENSG00000237125
LINC02269	4	173699081	174001488	302407	ENSG00000250708
ENSG00000250043	4	173877470	173913252	35782	ENSG00000250043
ENSG00000251216	4	173924206	173991024	66818	ENSG00000251216
LINC02268	4	174061731	174220398	158667	ENSG00000248174
ENSG00000250957	4	174135054	174154637	19583	ENSG00000250957
ENSG00000251213	4	174164440	174168913	4473	ENSG00000251213
ENSG00000289179	4	174213389	174214474	1085	ENSG00000289179
ENSG00000289210	4	174231024	174233348	2324	ENSG00000289210
FBXO8	4	174236657	174283667	47010	ENSG00000164117
CEP44	4	174283729	174333380	49651	ENSG00000164118
ENSG00000249875	4	174354853	174376445	21592	ENSG00000249875
HPGD	4	174490174	174523154	32980	ENSG00000164120
ENSG00000251584	4	174522616	174541047	18431	ENSG00000251584
GLRA3	4	174636919	174829247	192328	ENSG00000145451
ADAM29	4	174829667	174978180	148513	ENSG00000168594
ENSG00000250431	4	174977570	174979381	1811	ENSG00000250431
ENSG00000286494	4	175038079	175236669	198590	ENSG00000286494
ENSG00000248551	4	175346357	175403110	56753	ENSG00000248551
ENSG00000249945	4	175457725	175473197	15472	ENSG00000249945
ENSG00000289392	4	175617162	175618550	1388	ENSG00000289392
GPM6A	4	175632933	176002664	369731	ENSG00000150625
GPM6A-DT	4	175790306	175812189	21883	ENSG00000249106
WDR17	4	176065840	176182818	116978	ENSG00000150627
SPATA4	4	176184578	176195585	11007	ENSG00000150628
ASB5	4	176213672	176277571	63899	ENSG00000164122
SPCS3-AS1	4	176308267	176320458	12191	ENSG00000248980
ENSG00000289149	4	176319168	176319783	615	ENSG00000289149
SPCS3	4	176319965	176332245	12280	ENSG00000129128
ENSG00000289520	4	176341097	176342289	1192	ENSG00000289520
ENSG00000248388	4	176669620	176706145	36525	ENSG00000248388
VEGFC	4	176683537	176792922	109385	ENSG00000150630
ENSG00000287544	4	176844492	177301253	456761	ENSG00000287544
ENSG00000249458	4	176866613	176875457	8844	ENSG00000249458
LINC02509	4	176875687	176908031	32344	ENSG00000250263
ENSG00000249008	4	177242538	177248773	6235	ENSG00000249008
NEIL3	4	177309873	177362936	53063	ENSG00000109674
ENSG00000249084	4	177343003	177357032	14029	ENSG00000249084
AGA	4	177430773	177442437	11664	ENSG00000038002
AGA-DT	4	177442518	177681381	238863	ENSG00000250131
ENSG00000251416	4	177686672	177691068	4396	ENSG00000251416
LINC01098	4	177728756	178028971	300215	ENSG00000231171
LINC01099	4	177729637	177907936	178299	ENSG00000251504
ENSG00000250993	4	179389133	179465305	76172	ENSG00000250993
ENSG00000287083	4	179923772	180059792	136020	ENSG00000287083
ENSG00000287775	4	180095526	180117163	21637	ENSG00000287775
ENSG00000289951	4	180527967	180532810	4843	ENSG00000289951
ENSG00000249883	4	180731163	180759038	27875	ENSG00000249883
LINC00290	4	181064088	181159149	95061	ENSG00000248197
LINC02500	4	181260441	181265145	4704	ENSG00000249460
ENSG00000286860	4	181590254	181591969	1715	ENSG00000286860
ENSG00000287948	4	181686181	181700142	13961	ENSG00000287948
TEMN3-AS1	4	181820018	181829973	9955	ENSG00000251336
TENM3-AS1	4	181874437	182145249	270812	ENSG00000177822
TENM3	4	182143986	182803024	659038	ENSG00000218336
ENSG00000248266	4	182144851	182190382	45531	ENSG00000248266
